id,season,year,name,full_name,status,category,prize,country
1807,1986-1987,1987,Swedish Amateur Championship,1987 Swedish Amateur Championship,Amateur,National Championship,0.0,Sweden
1711,1986-1987,1987,Welsh Amateur Championship,1987 Welsh Amateur Championship,Amateur,National Championship,0.0,Wales
592,1988-1989,1988,World Matchplay,1988 World Matchplay,Professional,Invitational,240000.0,England
1290,1988-1989,1988,WPBSA Non-Ranking - Event 3,1988 WPBSA Non-Ranking - Event 3,Professional,Non-ranking,24425.0,England
593,1988-1989,1988,UK Championship,1988 UK Championship,Professional,Ranking,398000.0,England
1135,1988-1989,1988,World Amateur Championship - Men,1988 World Amateur Championship - Men,Amateur,World Event,0.0,Australia
1289,1988-1989,1988,WPBSA Non-Ranking - Event 2,1988 WPBSA Non-Ranking - Event 2,Professional,Non-ranking,25000.0,England
595,1988-1989,1988,Canadian Masters,1988 Canadian Masters,Professional,Ranking,199992.0,Canada
2303,1987-1988,1988,Womens World Championship,1988 Womens World Championship,Amateur,World Event,8650.0,England
596,1988-1989,1988,Grand Prix,1988 Grand Prix,Professional,Ranking,324997.0,England
775,1988-1989,1988,Fosters Professional,1988 Fosters Professional,Professional,Invitational,34700.0,Ireland
767,1988-1989,1988,Matchroom Professional Championship,1988 Matchroom Professional Championship,Professional,Invitational,125000.0,England
676,1988-1989,1988,WPBSA Pro Ticket Series 89/90 - Event 3,1988 WPBSA Pro Ticket Series 89/90 - Event 3,Professional,Tour Qualifier,11700.0,Wales
601,1988-1989,1988,Dubai Masters,1988 Dubai Masters,Professional,Invitational,73000.0,United Arab Emirates
603,1988-1989,1988,Australian Professional Championship,1988 Australian Professional Championship,Professional,Non-ranking,7550.0,Australia
602,1988-1989,1988,Canadian Professional Championship,1988 Canadian Professional Championship,Professional,Non-ranking,22625.0,Canada
1288,1988-1989,1988,WPBSA Non-Ranking - Event 1,1988 WPBSA Non-Ranking - Event 1,Professional,Non-ranking,25000.0,Scotland
599,1988-1989,1988,International Open,1988 International Open,Professional,Ranking,224993.0,England
675,1988-1989,1988,Hong Kong Masters,1988 Hong Kong Masters,Professional,Invitational,75000.0,Hong Kong
1196,1988-1989,1988,World Under-21 Championship - Men,1988 World Under-21 Championship - Men,Amateur,World Event,0.0,Thailand
